codigo_postal,Income_Range,V_PROFESSION_CD,V_SEX,N_COLL_SCHOLARSHIP_LEVEL,EDAD,ID,AGEB
28219,2,6.0,2.0,5,29,555,068-7
52400,2,15.0,1.0,3,36,557,041-5
86019,3,25.0,1.0,3,30,558,227-4
67190,4,2.0,1.0,5,39,559,108-6
4600,3,6.0,1.0,5,26,560,100-1
2300,3,4.0,2.0,5,49,561,087-7
56618,4,6.0,1.0,3,39,563,112-0
56617,1,6.0,1.0,3,24,564,033-4
9240,3,6.0,1.0,5,33,565,101-5
89600,4,6.0,1.0,3,24,566,019-0
55090,4,6.0,1.0,3,35,567,018-8
52950,3,4.0,1.0,5,23,569,012-8
58254,3,2.0,1.0,5,25,570,142-7
7050,2,9.0,2.0,5,36,571,145-3
45420,4,29.0,1.0,2,54,573,044-8
86570,3,2.0,1.0,4,23,574,123-3
14370,2,2.0,1.0,4,26,575,044-5
50010,4,6.0,1.0,5,28,576,325-0
42094,4,6.0,2.0,5,24,577,233-2
21960,1,6.0,1.0,3,21,578,762-2
97700,5,6.0,1.0,5,29,580,115-1
2080,5,2.0,1.0,5,27,581,080-5
50200,3,2.0,1.0,3,29,582,358-5
62460,1,6.0,2.0,1,59,583,110-9
50260,6,6.0,1.0,3,28,584,237-5
55050,3,6.0,1.0,6,55,586,250-2
77500,3,2.0,1.0,5,33,588,011-6
54170,2,25.0,1.0,5,27,589,226-2
53660,2,6.0,2.0,3,25,590,032-A
97269,5,4.0,1.0,5,38,592,326-7
9260,4,6.0,1.0,4,27,593,127-A
2940,3,2.0,2.0,6,33,594,058-0
6400,4,2.0,1.0,3,60,595,059-3
34287,3,9.0,1.0,6,34,596,372-A
52949,2,6.0,1.0,3,25,597,063-0
55712,3,1.0,1.0,5,24,598,089-A
54150,6,2.0,2.0,5,42,599,070-7
54000,3,6.0,2.0,3,60,600,188-5
42730,4,32.0,2.0,5,28,601,007-1
7650,2,6.0,1.0,5,29,602,047-4
15520,4,26.0,1.0,4,26,603,047-5
6430,2,2.0,2.0,5,24,605,004-2
7010,2,7.0,1.0,4,45,607,098-7
51200,4,6.0,1.0,1,45,608,020-6
